platform,username,repo_name,codecov_used,coverall_used,language
github,Miserlou,Zappa,False,True,Python
github,encode,httpx,True,False,Python
github,dask,dask,True,True,Python
github,matrix-org,synapse,True,True,Python
github,mwaskom,seaborn,True,False,Python
github,Zulko,moviepy,True,True,Python
github,python-pillow,Pillow,True,True,Python
github,ocrmypdf,OCRmyPDF,True,False,Python
github,ranaroussi,yfinance,False,True,Python
github,smicallef,spiderfoot,True,False,Python
github,Gallopsled,pwntools,False,True,Python
github,dbcli,mycli,True,False,Python
github,pytest-dev,pytest,True,True,Python
github,dbcli,pgcli,True,False,Python
github,pyodide,pyodide,True,False,Python
github,Chia-Network,chia-blockchain,False,True,Python
github,facebookresearch,ParlAI,True,True,Python
github,allenai,allennlp,True,False,Python
github,dbader,schedule,False,True,Python
github,PaddlePaddle,PaddleNLP,True,False,Python
github,borgbackup,borg,True,False,Python
github,aws,chalice,True,False,Python
github,jopohl,urh,True,False,Python
github,microsoft,playwright-python,False,True,Python
github,avgupta456,github-trends,True,True,Python
github,tweepy,tweepy,False,True,Python
github,danielgindi,Charts,True,False,Swift
github,vapor,vapor,True,False,Swift
github,HeroTransitions,Hero,True,False,Swift
github,JohnCoates,Aerial,True,False,Swift
github,realm,SwiftLint,True,False,Swift
github,Moya,Moya,True,False,Swift
github,mxcl,PromiseKit,True,False,Swift
github,SwifterSwift,SwifterSwift,True,False,Swift
github,mozilla-mobile,firefox-ios,True,False,Swift
github,vuejs,vue,True,True,TypeScript
github,mui,material-ui,True,False,TypeScript
github,ant-design,ant-design,True,True,TypeScript
github,excalidraw,excalidraw,True,False,TypeScript
github,nestjs,nest,False,True,TypeScript
github,grafana,grafana,True,True,TypeScript
github,strapi,strapi,True,False,TypeScript
github,apache,superset,True,False,TypeScript
github,nuxt,nuxt,True,False,TypeScript
github,jestjs,jest,True,False,TypeScript
github,babel,babel,True,False,TypeScript
github,pixijs,pixijs,True,False,TypeScript
github,styled-components,styled-components,True,True,TypeScript
github,react-hook-form,react-hook-form,False,True,TypeScript
github,n8n-io,n8n,True,False,TypeScript
github,vuetifyjs,vuetify,True,True,TypeScript
github,TanStack,query,True,False,TypeScript
github,RocketChat,Rocket.Chat,True,True,TypeScript
github,prisma,prisma,True,False,TypeScript
github,ant-design,ant-design-pro,True,False,TypeScript
github,NervJS,taro,True,False,TypeScript
github,date-fns,date-fns,False,True,TypeScript
github,typeorm,typeorm,True,False,TypeScript
github,trpc,trpc,True,False,TypeScript
github,solidjs,solid,False,True,TypeScript
github,ReactiveX,rxjs,False,True,TypeScript
github,colinhacks,zod,True,False,TypeScript
github,ianstormtaylor,slate,True,False,TypeScript
github,mattermost,mattermost,True,False,TypeScript
github,cheeriojs,cheerio,False,True,TypeScript
github,calcom,cal.com,True,False,TypeScript
github,JedWatson,react-select,False,True,TypeScript
github,mobxjs,mobx,False,True,TypeScript
github,pnpm,pnpm,False,True,TypeScript
github,toeverything,AFFiNE,True,False,TypeScript
github,backstage,backstage,True,False,TypeScript
github,directus,directus,False,True,TypeScript
github,discordjs,discord.js,True,False,TypeScript
github,neoclide,coc.nvim,True,False,TypeScript
github,reduxjs,react-redux,True,False,TypeScript
github,react-navigation,react-navigation,True,False,TypeScript
github,homebridge,homebridge,False,True,TypeScript
github,element-plus,element-plus,True,False,TypeScript
github,youzan,vant,True,True,TypeScript
github,react-bootstrap,react-bootstrap,True,False,TypeScript
github,Redocly,redoc,False,True,TypeScript
github,recharts,recharts,True,True,TypeScript
github,nextauthjs,next-auth,True,False,TypeScript
github,react-dnd,react-dnd,True,False,TypeScript
github,Budibase,budibase,True,False,TypeScript
github,graphql,graphql-js,True,True,TypeScript
github,apollographql,apollo-client,True,True,TypeScript
github,elastic,kibana,True,True,TypeScript
github,reduxjs,reselect,True,True,TypeScript
github,desktop,desktop,True,True,TypeScript
github,airbnb,visx,False,True,TypeScript
github,wechaty,wechaty,False,True,TypeScript
github,nextui-org,nextui,True,False,TypeScript
github,web3,web3.js,True,True,TypeScript
github,lobehub,lobe-chat,True,False,TypeScript
github,alibaba,ice,True,False,TypeScript
github,microsoft,fluentui,True,False,TypeScript
github,material-components,material-components-web,True,False,TypeScript
github,redis,node-redis,True,True,TypeScript
github,infinitered,ignite,False,True,TypeScript
github,ustbhuangyi,better-scroll,True,False,TypeScript
github,xtermjs,xterm.js,False,True,TypeScript
github,flatpickr,flatpickr,False,True,TypeScript
github,baidu,amis,True,False,TypeScript
github,verdaccio,verdaccio,True,False,TypeScript
github,conventional-changelog,commitlint,True,False,TypeScript
github,graphql,graphiql,True,False,TypeScript
github,pavlobu,deskreen,True,False,TypeScript
github,renovatebot,renovate,True,True,TypeScript
github,feathersjs,feathers,False,True,TypeScript
github,compiler-explorer,compiler-explorer,True,False,TypeScript
github,tusen-ai,naive-ui,True,False,TypeScript
github,umijs,umi,True,False,TypeScript
github,aidenybai,million,False,True,TypeScript
github,typescript-eslint,typescript-eslint,True,False,TypeScript
github,trufflesuite,truffle,False,True,TypeScript
github,video-dev,hls.js,False,True,TypeScript
github,sindresorhus,got,True,True,TypeScript
github,apollographql,apollo-server,True,False,TypeScript
github,alibaba,lowcode-engine,True,False,TypeScript
github,chartist-js,chartist,True,False,TypeScript
github,danilowoz,react-content-loader,True,False,TypeScript
github,schickling,chromeless,True,False,TypeScript
github,ajv-validator,ajv,False,True,TypeScript
github,facebook,flipper,False,True,TypeScript
github,alibaba,hooks,False,True,TypeScript
github,FaridSafi,react-native-gifted-chat,True,False,TypeScript
github,VSCodeVim,Vim,False,True,TypeScript
github,Tonejs,Tone.js,True,True,TypeScript
github,redis,ioredis,False,True,TypeScript
github,labring,sealos,True,False,TypeScript
github,TypeStrong,ts-node,True,True,TypeScript
github,javascript-obfuscator,javascript-obfuscator,False,True,TypeScript
github,vuejs,pinia,True,False,TypeScript
github,fkhadra,react-toastify,False,True,TypeScript
github,antvis,G2,False,True,TypeScript
github,vercel,vercel,True,False,TypeScript
github,visgl,deck.gl,False,True,TypeScript
github,onivim,oni,True,False,TypeScript
github,faker-js,faker,True,False,TypeScript
github,ant-design,ant-design-mobile,True,False,TypeScript
github,barbajs,barba,False,True,TypeScript
github,nukeop,nuclear,True,False,TypeScript
github,sindresorhus,ky,True,False,TypeScript
github,googleapis,google-api-nodejs-client,True,False,TypeScript
github,callstack,linaria,True,False,TypeScript
github,adobe,react-spectrum,True,False,TypeScript
github,opencv,cvat,True,True,TypeScript
